,paper_title,paper_link,conference,year,repo_link,repo_star,last_update,img2graph,text2graph,code2graph,Platform
0,Bridging the Gap Between Value and Policy Based Reinforcement Learning,http://papers.nips.cc/paper/6870-bridging-the-gap-between-value-and-policy-based-reinforcement-learning.pdf,NIPS,2017,https://github.com/tensorflow/models,46593,1/2/2019,0,0,0,tensorflow
1,"REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models",http://papers.nips.cc/paper/6856-rebar-low-variance-unbiased-gradient-estimates-for-discrete-latent-variable-models.pdf,NIPS,2017,https://github.com/tensorflow/models,46593,1/2/2019,0,0,0,tensorflow
2,Deep Photo Style Transfer,http://openaccess.thecvf.com/content_cvpr_2017/html/Luan_Deep_Photo_Style_CVPR_2017_paper.html,CVPR,2017,https://github.com/luanfujun/deep-photo-styletransfer,8655,1/2/2019,0,0,0,tensorflow
3,Mask R-CNN,http://openaccess.thecvf.com/content_iccv_2017/html/He_Mask_R-CNN_ICCV_2017_paper.html,ICCV,2017,https://github.com/matterport/Mask_RCNN,9493,1/2/2019,0,0,0,tensorflow
4,Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,http://papers.nips.cc/paper/7112-scalable-trust-region-method-for-deep-reinforcement-learning-using-kronecker-factored-approximation.pdf,NIPS,2017,https://github.com/openai/baselines,6449,1/2/2019,0,0,0,tensorflow
5,Attention is All you Need,http://papers.nips.cc/paper/7181-attention-is-all-you-need.pdf,NIPS,2017,https://github.com/tensorflow/tensor2tensor,6288,1/2/2019,1,0,0,tensorflow
6,Video-to-Video Synthesis,https://arxiv.org/abs/1808.06601,NIPS,2018,https://github.com/NVIDIA/vid2vid,5578,1/2/2019,0,0,0,tensorflow
7,Deep Residual Learning for Image Recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html,CVPR,2016,https://github.com/KaimingHe/deep-residual-networks,4468,1/2/2019,1,0,0,tensorflow
8,Deep Image Prior,http://openaccess.thecvf.com/content_cvpr_2018/papers/Ulyanov_Deep_Image_Prior_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/DmitryUlyanov/deep-image-prior,3736,1/2/2019,0,0,0,pytorch
9,StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,http://openaccess.thecvf.com/content_cvpr_2018/papers/Choi_StarGAN_Unified_Generative_CVPR_2018_paper.pdf,CVPR,2018,https://github.com/yunjey/StarGAN,3405,1/2/2019,0,0,0,tensorflow
10,Convolutional Pose Machines,http://openaccess.thecvf.com/content_cvpr_2016/html/Wei_Convolutional_Pose_Machines_CVPR_2016_paper.html,CVPR,2016,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation,3260,1/2/2019,0,0,0,tensorflow
